Date,Ticker,Company,Market,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI,MACD,MACD_Signal,MACD_Hist,52W_High,52W_Low,52W_Pct
2024-11-26,HDFCBANK.NS,HDFC Bank,India,892.9302818593218,892.9302818593218,873.0983737208503,880.8683471679688,30935566,-0.0027922993511175775,22.07416200477026,858.0455505371094,847.4589099121093,,1.3429632144630137,858.0455505371094,13.363590809915175,884.7727321569398,831.318368917279,6.229781531551564,63.42289943906327,6.561826846041299,4.603898081463274,1.9579287645780248,,,
2024-11-27,HDFCBANK.NS,HDFC Bank,India,883.0143007972586,896.5562300169572,880.6709755435701,894.06494140625,32714976,1.498134685019492,23.9029973672106,859.9720123291015,848.9028918457032,,1.3670795031761735,859.9720123291015,15.576631828764958,891.1252759866314,828.8187486715716,7.24518082237493,60.92716514319084,8.691633434172786,5.421445152005177,3.2701882821676094,,,
2024-11-28,HDFCBANK.NS,HDFC Bank,India,897.3702251985009,905.8061839354122,882.07694483503,884.6176147460938,35722392,-1.0566711904950399,22.593750089871456,860.9907409667969,850.1085949707032,,1.3827208714584727,860.9907409667969,16.509017610508078,894.008776187813,827.9727057457808,7.669777071920786,57.132100879778505,9.507602469828385,6.238676615569818,3.2689258542585664,,,
2024-11-29,HDFCBANK.NS,HDFC Bank,India,888.6383310231244,890.2662893460416,879.561016559754,886.04833984375,27669536,0.16173373374064326,22.792025539224458,862.5065063476562,851.3641247558594,,1.3578072858075974,862.5065063476562,17.37011113090855,897.2467286094733,827.7662840858392,8.055642944405589,59.52288466555085,10.152677619857855,7.021476816427425,3.1312008034304295,,,
2024-12-02,HDFCBANK.NS,HDFC Bank,India,889.7236388960249,892.0176431336934,875.6636867426915,890.3156127929688,15110876,0.48160723939409955,23.383400823620025,864.2084991455079,852.4484680175781,,1.3590886159652207,864.2084991455079,18.3665643371064,900.9416278197207,827.475370471295,8.500987599759307,59.63937229058117,10.88278758668639,7.793738970479218,3.0890486162071724,,,
2024-12-03,HDFCBANK.NS,HDFC Bank,India,899.1955156163089,906.4475265301776,895.9395389832724,900.9715576171876,43410242,1.1968727349159547,24.860143107489986,866.4038238525391,853.6107568359375,,1.3766443549500051,866.4038238525391,20.0176077874114,906.4390394273619,826.3686082777162,9.241698725844213,61.094649648422234,12.180837574176962,8.671158691218768,3.5096788829581946,,,
2024-12-04,HDFCBANK.NS,HDFC Bank,India,906.7435619082082,920.063516299678,903.3642521901576,917.6461791992188,44669084,1.850737844170225,27.170977028265387,870.0051452636719,854.7839001464844,,1.366728654976766,870.0051452636719,22.41686252885939,914.8388703213907,825.1714202059532,10.306542507660927,77.70398257385412,14.389184584319423,9.814763869838899,4.5744207144805245,,,
2024-12-05,HDFCBANK.NS,HDFC Bank,India,917.596875706611,927.4388181075852,905.3622266087298,920.4335327148438,39682714,0.303750353764598,27.55725932087465,872.6666717529297,855.8292687988281,,1.271088859281213,872.6666717529297,25.06968664524317,922.806045043416,822.5272984624434,11.491070969805948,90.99598363086152,16.17774466377648,11.087360028626415,5.090384635150064,,,
2024-12-06,HDFCBANK.NS,HDFC Bank,India,916.1168429341786,919.6688066050772,909.7035317020062,915.5494995117188,17783156,-0.5306231280730711,26.880411001381944,875.1481292724609,856.6955578613281,,1.2811230996177358,875.1481292724609,26.765616199692282,928.6793616718454,821.6168968730764,12.233639222627781,86.50397327997598,17.005066924483458,12.270901407797824,4.734165516685634,,,
2024-12-09,HDFCBANK.NS,HDFC Bank,India,914.464251733858,927.4635290462064,912.1702474502318,922.5302124023438,26947912,0.7624615484305375,27.847825347758093,878.1932189941406,857.5924365234375,,1.2715300025038487,878.1932189941406,28.551333068855037,935.2958851318507,821.0905528564305,13.004579152436182,86.61186064679454,18.016329929993276,13.419987112236916,4.59634281775636,,,
2024-12-10,HDFCBANK.NS,HDFC Bank,India,926.3288062229568,926.3288062229568,916.881553393078,921.5928344726562,13325480,-0.10160945593820081,27.717919867993434,880.9965789794921,858.427646484375,,1.2752062086403608,880.9965789794921,29.95986452916483,940.9163080378218,821.0768499211625,13.602715490164105,83.12704639616081,18.528539117355194,14.441697513260573,4.086841604094621,,,
2024-12-11,HDFCBANK.NS,HDFC Bank,India,918.435483332828,923.4675021564424,915.9935158212784,919.1261596679688,14045426,-0.2676534270254938,27.376078478541068,883.3843017578125,859.5174157714844,,1.2788832165084099,883.3843017578125,31.036038877792677,945.4563795133979,821.3122240022271,14.053244467231426,81.43368594739692,18.521919389502727,15.257741888509004,3.264177500993723,,,
2024-12-12,HDFCBANK.NS,HDFC Bank,India,913.1568815747592,921.864197216933,912.0221946944998,917.2268676757812,17293790,-0.2066410548986708,27.112867206284452,886.8635223388671,860.772451171875,,1.0760993904853517,886.8635223388671,30.717060827620212,948.2976439941076,825.4294006836267,13.854244786892187,79.38969836850629,18.154146516287142,15.837022814064632,2.31712370222251,,,
2024-12-13,HDFCBANK.NS,HDFC Bank,India,918.8301759997275,924.996821476236,902.4268990322158,923.3934936523438,19009002,0.6723119648891718,27.967462221425986,891.5600402832031,862.2085400390625,,0.8944134778502387,891.5600402832031,28.585704364651885,948.7314490125068,834.3886315538994,12.825027176216485,75.97224967829769,18.1510450950459,16.299827270260884,1.8512178247850173,,,
